id,nombre,categoria,precio_carrefour,precio_coto,precio_dia,precio_jumbo,precio_changomas
P00074,Desinfectante Ayudín Aerosol 360ml,Limpieza,2450.22,2750.55,2150.33,3050.44,2050.10
P00075,Limpiavidrios CIF Vidrios 500ml,Limpieza,1500.33,1800.10,1300.55,2100.22,1200.44
P00076,Limpiador Mr Músculo Cocina 500ml,Limpieza,1700.22,1980.55,1500.33,2250.44,1400.10
P00077,Limpiador Ayudín Baño 500ml,Limpieza,1650.33,1950.10,1480.55,2200.22,1380.44
P00078,Limpiador CIF Antigrasa 500ml,Limpieza,1750.22,2050.55,1550.33,2350.44,1450.10
P00079,Desinfectante Lysoform Lavanda 360ml,Limpieza,2550.33,2850.10,2250.55,3150.22,2150.44
P00080,Desinfectante Ayudín Citrus 360ml,Limpieza,2500.22,2800.55,2200.33,3100.44,2100.10
P00081,Limpiador Poett Primavera 900ml,Limpieza,1900.33,2200.10,1650.55,2500.22,1550.44
P00082,Limpiador Poett Lavanda 900ml,Limpieza,1880.22,2180.55,1620.33,2480.44,1520.10
P00083,Limpiador Poett Naranja 900ml,Limpieza,1850.33,2150.10,1600.55,2450.22,1500.44
P00084,Detergente Magistral Original 750ml,Limpieza,1850.22,2150.55,1550.33,2450.44,1450.10
P00085,Detergente Ala Limón 750ml,Limpieza,1800.33,2100.10,1500.55,2400.22,1400.44
P00086,Detergente Ayudín Original 750ml,Limpieza,1750.22,2050.55,1480.33,2350.44,1380.10
P00087,Suavizante Vivere Cielo 900ml,Limpieza,2250.33,2550.10,1950.55,2850.22,1850.44
P00088,Suavizante Comfort Jazmín 900ml,Limpieza,2200.22,2500.55,1900.33,2800.44,1800.10
P00089,Suavizante Ala Primavera 900ml,Limpieza,2150.33,2450.10,1850.55,2750.22,1750.44
P00090,Shampoo Sedal Ceramidas 400ml,Higiene,1800.22,2100.55,1500.33,2400.44,1400.10
P00091,Shampoo Sedal Rizos 400ml,Higiene,1850.33,2150.10,1550.55,2450.22,1450.44
P00092,Shampoo Pantene Restauración 400ml,Higiene,2200.22,2500.55,1900.33,2800.44,1800.10
P00093,Shampoo Pantene Liso Extremo 400ml,Higiene,2250.33,2550.10,1950.55,2850.22,1850.44
P00094,Shampoo Head & Shoulders Mentol 375ml,Higiene,2400.22,2700.55,2100.33,3000.44,2000.10
P00095,Shampoo Head & Shoulders Suave 375ml,Higiene,2350.33,2650.10,2050.55,2950.22,1950.44
P00096,Acondicionador Sedal Ceramidas 400ml,Higiene,1850.22,2150.55,1550.33,2450.44,1450.10
P00097,Acondicionador Pantene Restauración 400ml,Higiene,2300.33,2600.10,2000.55,2900.22,1900.44
P00098,Acondicionador Head & Shoulders Suave 375ml,Higiene,2450.22,2750.55,2150.33,3050.44,2050.10
P00099,Jabón Dove Original 90g,Higiene,650.22,780.55,550.33,900.44,500.10
P00100,Jabón Dove Karité 90g,Higiene,680.33,820.10,580.55,940.22,520.44
P00101,Jabón Rexona Antibacterial 90g,Higiene,600.22,750.55,520.33,880.44,480.10
P00102,Jabón Rexona Sport 90g,Higiene,620.33,770.10,540.55,900.22,500.44
P00103,Desodorante Rexona Hombre 150ml,Higiene,1800.22,2100.55,1500.33,2400.44,1400.10
P00104,Desodorante Rexona Mujer 150ml,Higiene,1750.33,2050.10,1480.55,2350.22,1380.44
P00105,Desodorante Dove Original 150ml,Higiene,1900.22,2200.55,1600.33,2500.44,1500.10
P00106,Desodorante Dove Go Fresh 150ml,Higiene,1950.33,2250.10,1650.55,2550.22,1550.44
P00107,Desodorante Nivea Fresh 150ml,Higiene,1850.22,2150.55,1550.33,2450.44,1450.10
P00108,Desodorante Nivea Black & White 150ml,Higiene,2000.33,2300.10,1700.55,2600.22,1600.44
P00109,Pasta Dental Colgate Total 90g,Higiene,950.22,1100.55,780.33,1300.44,720.10
P00110,Pasta Dental Colgate Triple Acción 90g,Higiene,900.33,1050.10,750.55,1250.22,700.44
P00111,Pasta Dental Sensodyne Original 90g,Higiene,1800.22,2100.55,1500.33,2400.44,1400.10
P001112,Pasta Dental Sensodyne Rápido 90g,Higiene,1850.33,2150.10,1550.55,2450.22,1450.44
P00113,Enjuague Bucal Listerine Cool Mint 250ml,Higiene,1600.22,1900.55,1400.33,2200.44,1300.10
P00114,Enjuague Bucal Listerine Fresh Burst 250ml,Higiene,1650.33,1950.10,1450.55,2250.22,1350.44
P00115,Enjuague Bucal Colgate Plax 250ml,Higiene,1500.22,1800.55,1300.33,2100.44,1200.10
P00116,Enjuague Bucal Colgate Plax Ice 250ml,Higiene,1550.33,1850.10,1350.55,2150.22,1250.44
P00117,Toallas Femeninas Always Nocturna 8u,Higiene,1200.22,1450.55,950.33,1700.44,900.10
P00118,Toallas Femeninas Always Ultrafina 8u,Higiene,1250.33,1500.10,1000.55,1750.22,950.44
P00119,Toallas Femeninas Nosotras Nocturna 8u,Higiene,1150.22,1400.55,900.33,1650.44,850.10
P00120,Toallas Femeninas Nosotras Ultrafina 8u,Higiene,1180.33,1450.10,930.55,1680.22,880.44
P00121,Pañales Pampers Confort Sec XG 30u,Higiene,6500.22,7200.55,5800.33,7800.44,5600.10
P00122,Pañales Pampers Premium Care XG 30u,Higiene,7000.33,7600.10,6200.55,8200.22,6000.44
P00123,Pañales Huggies Active Sec XG 30u,Higiene,6300.22,7000.55,5600.33,7600.44,5400.10
P00124,Pañales Huggies Supreme XG 30u,Higiene,6800.33,7400.10,6000.55,8000.22,5800.44
P00125,Algodón Estrella 100g,Higiene,500.22,650.55,400.33,800.44,350.10
P00126,Algodón Bella 100g,Higiene,480.33,630.10,380.55,780.22,330.44
P00127,Hisopos Estrella 100u,Higiene,450.22,600.55,350.33,750.44,300.10
P00128,Hisopos Bella 100u,Higiene,430.33,580.10,330.55,730.22,280.44
P00129,Alcohol en Gel Ayudín 250ml,Higiene,900.22,1100.55,750.33,1300.44,700.10
P00130,Alcohol en Gel Farmacity 250ml,Higiene,850.33,1050.10,720.55,1250.22,680.44
P00131,Crema Nivea Soft 100ml,Higiene,1800.22,2100.55,1500.33,2400.44,1400.10
P00132,Crema Nivea Original 100ml,Higiene,1750.33,2050.10,1480.55,2350.22,1380.44
P00133,Crema Dove Nutrición 100ml,Higiene,1900.22,2200.55,1600.33,2500.44,1500.10
P00134,Crema Dove Reafirmante 100ml,Higiene,1950.33,2250.10,1650.55,2550.22,1550.44
P00135,Protector Solar Nivea FPS50 200ml,Higiene,4500.22,5000.55,3800.33,5500.44,3600.10
P00136,Protector Solar Banana Boat FPS50 200ml,Higiene,4800.33,5200.10,4000.55,5800.22,3900.44
P00137,Protector Solar Dermaglós FPS50 200ml,Higiene,4700.22,5100.55,3900.33,5700.44,3800.10
P00138,Protector Solar Dermaglós FPS30 200ml,Higiene,4300.33,4800.10,3600.55,5300.22,3500.44
P00139,Crema Corporal Dove 400ml,Higiene,3200.22,3600.55,2800.33,4000.44,2700.10
P00140,Crema Corporal Nivea 400ml,Higiene,3100.33,3500.10,2700.55,3900.22,2600.44
P00141,Crema Corporal Pond’s 400ml,Higiene,3000.22,3400.55,2600.33,3800.44,2500.10
P00142,Crema Corporal Bagóvit A 400ml,Higiene,3500.33,3900.10,3100.55,4300.22,3000.44
P00143,Shampoo Dove Reconstrucción 400ml,Higiene,2100.22,2400.55,1800.33,2700.44,1700.10
P00144,Shampoo Dove Hidratación 400ml,Higiene,2150.33,2450.10,1850.55,2750.22,1750.44
P00145,Shampoo Dove Control Caída 400ml,Higiene,2200.22,2500.55,1900.33,2800.44,1800.10
P00146,Acondicionador Dove Reconstrucción 400ml,Higiene,2250.33,2550.10,1950.55,2850.22,1850.44
P00147,Acondicionador Dove Hidratación 400ml,Higiene,2300.22,2600.55,2000.33,2900.44,1900.10
P00148,Acondicionador Dove Control Caída 400ml,Higiene,2350.33,2650.10,2050.55,2950.22,1950.44
P00149,Shampoo Pantene Rizos Definidos 400ml,Higiene,2400.22,2700.55,2100.33,3000.44,2000.10
P00150,Acondicionador Pantene Rizos Definidos 400ml,Higiene,2450.33,2750.10,2150.55,3050.22,2050.44
P00151,Crema Corporal Nivea Soft 400ml,Higiene,3300.22,3700.55,2900.33,4100.44,2800.10
P00152,Crema Corporal Dove Nutritiva 400ml,Higiene,3400.33,3800.10,3000.55,4200.22,2900.44
P00153,Crema Corporal Pond’s Nutritiva 400ml,Higiene,3200.22,3600.55,2800.33,4000.44,2700.10
P00154,Crema Corporal Bagóvit E 400ml,Higiene,3600.33,4000.10,3200.55,4400.22,3100.44
P00155,Protector Solar Nivea Kids FPS50 200ml,Higiene,4800.22,5200.55,4000.33,5800.44,3900.10
P00156,Protector Solar Dermaglós Kids FPS50 200ml,Higiene,4900.33,5300.10,4100.55,5900.22,4000.44
P00157,Protector Solar Banana Boat Kids FPS50 200ml,Higiene,5000.22,5400.55,4200.33,6000.44,4100.10
P00158,Shampoo Sedal Brillo 400ml,Higiene,1900.22,2200.55,1600.33,2500.44,1500.10
P00159,Shampoo Sedal Detox 400ml,Higiene,1950.33,2250.10,1650.55,2550.22,1550.44
P00160,Shampoo Pantene Fuerza 400ml,Higiene,2300.22,2600.55,2000.33,2900.44,1900.10
P00161,Shampoo Pantene Hidratación 400ml,Higiene,2350.33,2650.10,2050.55,2950.22,1950.44
P00162,Shampoo Head & Shoulders Anticaspa 375ml,Higiene,2500.22,2800.55,2200.33,3100.44,2100.10
P00163,Producto Único 00001,Higiene,2450.33,2750.10,2150.55,3050.22,2050.44
P00164,Acondicionador Sedal Brillo 400ml,Higiene,1950.22,2250.55,1650.33,2550.44,1550.10
P00165,Acondicionador Sedal Detox 400ml,Higiene,2000.33,2300.10,1700.55,2600.22,1600.44
P00166,Acondicionador Pantene Fuerza 400ml,Higiene,2400.22,2700.55,2100.33,3000.44,2000.10
P00167,Acondicionador Pantene Hidratación 400ml,Higiene,2450.33,2750.10,2150.55,3050.22,2050.44
P00168,Acondicionador Head & Shoulders Anticaspa 375ml,Higiene,2550.22,2850.55,2250.33,3150.44,2150.10
P00169,Producto Único 00002,Higiene,2500.33,2800.10,2200.55,3100.22,2100.44
P00170,Desodorante Dove Men Sport 150ml,Higiene,2000.22,2300.55,1700.33,2600.44,1600.10
P00171,Desodorante Dove Men Invisible 150ml,Higiene,2050.33,2350.10,1750.55,2650.22,1650.44
P00172,Desodorante Rexona Men V8 150ml,Higiene,1900.22,2200.55,1600.33,2500.44,1500.10
P00173,Desodorante Rexona Men Antibacterial 150ml,Higiene,1950.33,2250.10,1650.55,2550.22,1550.44
P00174,Desodorante Nivea Men Fresh 150ml,Higiene,2100.22,2400.55,1800.33,2700.44,1700.10
P00175,Desodorante Nivea Men Black & White 150ml,Higiene,2150.33,2450.10,1850.55,2750.22,1750.44
P00176,Crema Facial Pond’s Antiage 50g,Higiene,3500.22,3900.55,3100.33,4300.44,3000.10
P00177,Crema Facial Nivea Antiarrugas 50g,Higiene,3600.33,4000.10,3200.55,4400.22,3100.44
P00178,Crema Facial Dove Nutritiva 50g,Higiene,3400.22,3800.55,3000.33,4200.44,2900.10
P00179,Crema Facial Bagóvit Pro Lifting 50g,Higiene,3800.33,4200.10,3400.55,4600.22,3300.44
P00180,Protector Labial Nivea Cereza 4.8g,Higiene,900.22,1100.55,750.33,1300.44,700.10
P00181,Protector Labial Nivea Original 4.8g,Higiene,880.33,1080.10,720.55,1280.22,680.44
P00182,Protector Labial Carmex Original 4.8g,Higiene,1200.22,1450.55,950.33,1700.44,900.10
P00183,Protector Labial Carmex Cereza 4.8g,Higiene,1250.33,1500.10,1000.55,1750.22,950.44
P00184,Toallas Húmedas Huggies 48u,Higiene,950.22,1150.55,780.33,1350.44,720.10
P00185,Toallas Húmedas Pampers 48u,Higiene,1000.33,1200.10,820.55,1400.22,760.44
P00186,Toallas Húmedas Johnson’s 48u,Higiene,980.22,1180.55,800.33,1380.44,740.10
P00187,Toallas Húmedas Babysec 48u,Higiene,920.33,1120.10,760.55,1320.22,700.44
P00188,Algodón Estrella 200g,Higiene,900.22,1100.55,750.33,1300.44,700.10
P00189,Algodón Bella 200g,Higiene,880.33,1080.10,720.55,1280.22,680.44
P00190,Hisopos Estrella 200u,Higiene,700.22,900.55,550.33,1100.44,500.10
P00191,Hisopos Bella 200u,Higiene,680.33,880.10,530.55,1080.22,480.44
P00192,Alcohol en Gel Ayudín 500ml,Higiene,1500.22,1800.55,1300.33,2100.44,1200.10
P00193,Alcohol en Gel Farmacity 500ml,Higiene,1450.33,1750.10,1250.55,2050.22,1150.44
P00194,Crema Corporal Nivea Soft 200ml,Higiene,2000.22,2300.55,1700.33,2600.44,1600.10
P00195,Crema Corporal Dove Nutritiva 200ml,Higiene,2100.33,2400.10,1800.55,2700.22,1700.44
P00196,Crema Corporal Pond’s Nutritiva 200ml,Higiene,1950.22,2250.55,1650.33,2550.44,1550.10
P00197,Crema Corporal Bagóvit A 200ml,Higiene,2200.33,2500.10,1900.55,2800.22,1800.44
P00198,Protector Solar Nivea FPS30 200ml,Higiene,4200.22,4600.55,3500.33,5000.44,3400.10
P00199,Producto Único 00003,Higiene,4300.33,4700.10,3600.55,5100.22,3500.44
P00200,Protector Solar Banana Boat FPS30 200ml,Higiene,4400.22,4800.55,3700.33,5200.44,3600.10
P00201,Shampoo Dove Nutrición 400ml,Higiene,2250.22,2550.55,1950.33,2850.44,1850.10
P00202,Shampoo Dove Brillo 400ml,Higiene,2300.33,2600.10,2000.55,2900.22,1900.44
P00203,Shampoo Dove Detox 400ml,Higiene,2350.22,2650.55,2050.33,2950.44,1950.10
P00204,Acondicionador Dove Nutrición 400ml,Higiene,2400.33,2700.10,2100.55,3000.22,2000.44
P00205,Acondicionador Dove Brillo 400ml,Higiene,2450.22,2750.55,2150.33,3050.44,2050.10
P00206,Acondicionador Dove Detox 400ml,Higiene,2500.33,2800.10,2200.55,3100.22,2100.44
P00207,Shampoo Pantene Control Caída 400ml,Higiene,2400.22,2700.55,2100.33,3000.44,2000.10
P00208,Shampoo Pantene Brillo Extremo 400ml,Higiene,2450.33,2750.10,2150.55,3050.22,2050.44
P00209,Acondicionador Pantene Control Caída 400ml,Higiene,2500.22,2800.55,2200.33,3100.44,2100.10
P00210,Acondicionador Pantene Brillo Extremo 400ml,Higiene,2550.33,2850.10,2250.55,3150.22,2150.44
P00211,Shampoo Head & Shoulders Limpieza 375ml,Higiene,2550.22,2850.55,2250.33,3150.44,2150.10
P00212,Shampoo Head & Shoulders Hidratación 375ml,Higiene,2600.33,2900.10,2300.55,3200.22,2200.44
P00213,Acondicionador Head & Shoulders Limpieza 375ml,Higiene,2650.22,2950.55,2350.33,3250.44,2250.10
P00214,Acondicionador Head & Shoulders Hidratación 375ml,Higiene,2700.33,3000.10,2400.55,3300.22,2300.44
P00215,Desodorante Dove Powder Soft 150ml,Higiene,2050.22,2350.55,1750.33,2650.44,1650.10
P00216,Desodorante Dove Fresh 150ml,Higiene,2100.33,2400.10,1800.55,2700.22,1700.44
P00217,Desodorante Rexona Bamboo 150ml,Higiene,1950.22,2250.55,1650.33,2550.44,1550.10
P00218,Desodorante Rexona Cotton 150ml,Higiene,2000.33,2300.10,1700.55,2600.22,1600.44
P00219,Desodorante Nivea Pearl & Beauty 150ml,Higiene,2150.22,2450.55,1850.33,2750.44,1750.10
P00220,Desodorante Nivea Fresh Natural 150ml,Higiene,2200.33,2500.10,1900.55,2800.22,1800.44
P00221,Crema Facial Nivea Q10 50g,Higiene,3800.22,4200.55,3400.33,4600.44,3300.10
P00222,Crema Facial Pond’s Rejuveness 50g,Higiene,3700.33,4100.10,3300.55,4500.22,3200.44
P00223,Crema Facial Dove Antiage 50g,Higiene,3600.22,4000.55,3200.33,4400.44,3100.10
P00224,Producto Único 00004,Higiene,3900.33,4300.10,3500.55,4700.22,3400.44
P00225,Protector Labial Nivea Med 4.8g,Higiene,950.22,1150.55,780.33,1350.44,720.10
P00226,Protector Labial Carmex Menta 4.8g,Higiene,1300.22,1550.55,1050.33,1800.44,950.10
P00227,Protector Labial Nivea Sun FPS30 4.8g,Higiene,1400.33,1650.10,1150.55,1900.22,1050.44
P00228,Protector Labial Dermaglós FPS30 4.8g,Higiene,1500.22,1750.55,1250.33,2000.44,1150.10
P00229,Crema Facial Nivea Nutritiva 100ml,Higiene,2500.33,2800.10,2100.55,3100.22,2000.44
P00230,Crema Facial Pond’s Nutritiva 100ml,Higiene,2400.22,2700.55,2000.33,3000.44,1900.10
P00231,Crema Facial Dove Nutritiva 100ml,Higiene,2550.33,2850.10,2150.55,3150.22,2050.44
P00232,Crema Facial Bagóvit A 100ml,Higiene,2600.22,2900.55,2200.33,3200.44,2100.10
P00233,Crema Facial Bagóvit E 100ml,Higiene,2650.33,2950.10,2250.55,3250.22,2150.44
P00234,Protector Solar Nivea FPS15 200ml,Higiene,3800.22,4200.55,3400.33,4600.44,3300.10
P00235,Protector Solar Dermaglós FPS15 200ml,Higiene,3900.33,4300.10,3500.55,4700.22,3400.44
P00236,Protector Solar Banana Boat FPS15 200ml,Higiene,4000.22,4400.55,3600.33,4800.44,3500.10
P00237,Shampoo Sedal Purificación 400ml,Higiene,2000.22,2300.55,1700.33,2600.44,1600.10
P00238,Shampoo Sedal Hidratación 400ml,Higiene,2050.33,2350.10,1750.55,2650.22,1650.44
P00239,Shampoo Pantene Volumen 400ml,Higiene,2400.22,2700.55,2100.33,3000.44,2000.10
P00240,Shampoo Pantene Suave 400ml,Higiene,2450.33,2750.10,2150.55,3050.22,2050.44
P00241,Shampoo Head & Shoulders Detox 375ml,Higiene,2600.22,2900.55,2300.33,3200.44,2200.10
P00242,Shampoo Head & Shoulders Fuerza 375ml,Higiene,2650.33,2950.10,2350.55,3250.22,2250.44
P00243,Acondicionador Sedal Purificación 400ml,Higiene,2050.22,2350.55,1750.33,2650.44,1650.10
P00244,Acondicionador Sedal Hidratación 400ml,Higiene,2100.33,2400.10,1800.55,2700.22,1700.44
P00245,Acondicionador Pantene Volumen 400ml,Higiene,2500.22,2800.55,2200.33,3100.44,2100.10
P00246,Acondicionador Pantene Suave 400ml,Higiene,2550.33,2850.10,2250.55,3150.22,2150.44
P00247,Acondicionador Head & Shoulders Detox 375ml,Higiene,2700.22,3000.55,2400.33,3300.44,2300.10
P00248,Acondicionador Head & Shoulders Fuerza 375ml,Higiene,2750.33,3050.10,2450.55,3350.22,2350.44
P00249,Desodorante Dove Men Clean 150ml,Higiene,2100.22,2400.55,1800.33,2700.44,1700.10
P00250,Desodorante Dove Men Fresh 150ml,Higiene,2150.33,2450.10,1850.55,2750.22,1750.44
P00251,Desodorante Rexona Men Sport 150ml,Higiene,2000.22,2300.55,1700.33,2600.44,1600.10
P00252,Desodorante Rexona Men Fresh 150ml,Higiene,2050.33,2350.10,1750.55,2650.22,1650.44
P00253,Desodorante Nivea Men Active 150ml,Higiene,2200.22,2500.55,1900.33,2800.44,1800.10
P00254,Desodorante Nivea Men Cool Kick 150ml,Higiene,2250.33,2550.10,1950.55,2850.22,1850.44
P00255,Crema Facial Pond’s Hidratante 100ml,Higiene,2500.22,2800.55,2100.33,3100.44,2000.10
P00256,Crema Facial Nivea Hidratante 100ml,Higiene,2600.33,2900.10,2200.55,3200.22,2100.44
P00257,Crema Facial Dove Hidratante 100ml,Higiene,2550.22,2850.55,2150.33,3150.44,2050.10
P00258,Crema Facial Bagóvit Hidratante 100ml,Higiene,2700.33,3000.10,2300.55,3300.22,2200.44
P00259,Protector Solar Nivea Kids FPS30 200ml,Higiene,4600.22,5000.55,3800.33,5400.44,3600.10
P00260,Protector Solar Dermaglós Kids FPS30 200ml,Higiene,4700.33,5100.10,3900.55,5500.22,3700.44
P00261,Protector Solar Banana Boat Kids FPS30 200ml,Higiene,4800.22,5200.55,4000.33,5600.44,3800.10
P00262,Shampoo Sedal Fuerza 400ml,Higiene,2100.22,2400.55,1800.33,2700.44,1700.10
P00263,Shampoo Sedal Suavidad 400ml,Higiene,2150.33,2450.10,1850.55,2750.22,1750.44
P00264,Shampoo Pantene Nutrición 400ml,Higiene,2500.22,2800.55,2200.33,3100.44,2100.10
P00265,Shampoo Pantene Brillo 400ml,Higiene,2550.33,2850.10,2250.55,3150.22,2150.44
P00266,Producto Único 00005,Higiene,2700.22,3000.55,2400.33,3300.44,2300.10
P00267,Producto Único 00006,Higiene,2750.33,3050.10,2450.55,3350.22,2350.44
P00268,Acondicionador Sedal Fuerza 400ml,Higiene,2150.22,2450.55,1850.33,2750.44,1750.10
